Cell1,Cell2,Exp1,Exp2,Rep1,Rep2,Isrep,Color,Rsq,Nmi
RWPE2,A549,8,3,2,0,0,k,0.2585702049592527,0.22911082337807734
WTC11,A549,9,3,0,0,0,k,0.23194705039777003,0.217426665662961
WTC11,A549,9,3,1,0,0,k,0.22364611918687333,0.20888726909538863
A549,A549,3,3,2,1,2,k,0.8769653564812349,0.7088026036471217
GM12878,A549,4,3,0,1,0,k,0.33916385083868017,0.23098036996131113
GM12878,A549,4,3,1,1,0,k,0.2904137385027064,0.2233208725919705
HepG2,A549,5,3,0,1,0,k,0.20806725554807295,0.18948387527687693
HepG2,A549,5,3,1,1,0,k,0.2748521786653201,0.23573767756183123
IMR-90,A549,6,3,0,1,0,k,0.3480479337610757,0.2772486698006293
IMR-90,A549,6,3,1,1,0,k,0.37778357302062354,0.2945300224771001
K562,A549,7,3,0,1,0,k,0.26851171104190974,0.23346901706162454
K562,A549,7,3,1,1,0,k,0.29095086817295923,0.24562665074895074
RWPE2,A549,8,3,0,1,0,k,0.2094173435325,0.18956452274842975
RWPE2,A549,8,3,1,1,0,k,0.2409015383356487,0.20889750446168662
RWPE2,A549,8,3,2,1,0,k,0.26129165095989204,0.22318010402537314
WTC11,A549,9,3,0,1,0,k,0.24430358235677607,0.21507793060369354
WTC11,A549,9,3,1,1,0,k,0.23697627518340642,0.20728611071588104
GM12878,A549,4,3,0,2,0,k,0.34084315674835036,0.23288545613554568
GM12878,A549,4,3,1,2,0,k,0.2929643961655915,0.22529637742564015
HepG2,A549,5,3,0,2,0,k,0.2082109617441339,0.19137074411554225
HepG2,A549,5,3,1,2,0,k,0.2741030046927834,0.23640346336152002
IMR-90,A549,6,3,0,2,0,k,0.3484437267537367,0.278199011541021
IMR-90,A549,6,3,1,2,0,k,0.3774227711338903,0.29493117716607437
K562,A549,7,3,0,2,0,k,0.27022743504550817,0.23515159236003882
K562,A549,7,3,1,2,0,k,0.2904920515758971,0.24790393270380148
RWPE2,A549,8,3,0,2,0,k,0.20880550092988806,0.19065511386066986
RWPE2,A549,8,3,1,2,0,k,0.24191410324004506,0.21080753269055383
RWPE2,A549,8,3,2,2,0,k,0.2628713717764236,0.22559341918152323
WTC11,A549,9,3,0,2,0,k,0.239422427838451,0.21479189269015636
WTC11,A549,9,3,1,2,0,k,0.23115678319898522,0.20621182851319222
GM12878,GM12878,4,4,1,0,2,k,0.8024467646677366,0.6492556382797537
HepG2,GM12878,5,4,0,0,0,k,0.25016238395034257,0.1834578526251496
